주소,축종,진단일,발생일,지역코드,사육수,location,date,avg_temperature(C),daily_rain(mm),avg_wind(m/s),avg_r_humidity(%)
경기도 포천시 관인면 사정리,닭-종계,20161222,20161217,98,38496,동두천,20161217,2.5,0.0,1.0,59.1
경기도 포천시 관인면 탄동리,닭-산란계,20161209,20161203,98,160000,동두천,20161203,3.7,0.0,0.9,62.6
경기도 포천시 선단동,닭-산란계,20210113,20210112,98,180000,동두천,20210112,-6.6,1.9,1.0,85.5
경기도 포천시 신북면 삼성당리,닭-산란계,20210127,20210126,98,39000,동두천,20210126,3.5,0.8,1.2,87.1
경기도 포천시 영북면 문암리,닭-산란계,20161216,20161210,98,30000,동두천,20161210,-2.2,0.0,1.4,49.5
경기도 포천시 영북면 야미리,닭-산란계,20161209,20161204,98,188000,동두천,20161204,3.9,0.0,0.7,69.9
경기도 포천시 영북면 야미리,닭-산란계,20161216,20161210,98,50000,동두천,20161210,-2.2,0.0,1.4,49.5
경기도 포천시 영북면 야미리,닭-산란계,20161220,20161210,98,25926,동두천,20161210,-2.2,0.0,1.4,49.5
경기도 포천시 영북면 야미리,닭-산란계,20161220,20161213,98,37000,동두천,20161213,2.6,0.0,1.7,58.1
경기도 포천시 영북면 야미리,닭-산란계,20161222,20161216,98,11000,동두천,20161216,-5.3,0.0,1.2,46.1
경기도 포천시 영북면 자일리,고양이-코리아숏헤어,20161231,20161226,98,14,동두천,20161226,1.5,0.0,0.9,74.6
경기도 포천시 영북면 자일리,고양이-코리아숏헤어,20170102,20161230,98,7,동두천,20161230,-4.3,0.0,0.9,54.4
경기도 포천시 영북면 자일리,닭-산란계,20161125,20161122,98,299000,동두천,20161122,2.3,0.0,2.9,40.0
경기도 포천시 영북면 자일리,닭-산란계,20161207,20161202,98,120224,동두천,20161202,0.9,0.0,1.1,50.3
경기도 포천시 영북면 자일리,닭-산란계,20161209,20161202,98,37000,동두천,20161202,0.9,0.0,1.1,50.3
경기도 포천시 영북면 자일리,닭-산란계,20161209,20161204,98,54030,동두천,20161204,3.9,0.0,0.7,69.9
경기도 포천시 영북면 자일리,닭-산란계,20161210,20161205,98,71200,동두천,20161205,5.8,0.2,2.4,64.8
경기도 포천시 영북면 자일리,닭-산란계,20161210,20161206,98,68014,동두천,20161206,-1.4,0.0,1.7,35.6
경기도 포천시 영북면 자일리,닭-산란계,20180104,20180103,98,198400,동두천,20180103,-5.4,0.0,1.5,42.9
경기도 포천시 영중면 거사리,닭-산란계,20150126,20150122,98,134000,동두천,20150122,1.7,0.0,1.9,63.6
경기도 포천시 영중면 거사리,닭-산란계,20210227,20210226,98,189738,동두천,20210226,4.8,0.0,1.6,48.0
경기도 포천시 영중면 성동리,닭-산란계,20161222,20161216,98,43000,동두천,20161216,-5.3,0.0,1.2,46.1
경기도 포천시 이동면 노곡리,닭-산란계,20170127,20170124,98,106503,동두천,20170124,-8.1,0.0,1.1,51.6
경기도 포천시 일동면 길명리,닭-토종닭,20150428,20150424,98,1135,동두천,20150424,15.3,0.0,2.1,37.4
경기도 포천시 창수면 주원리,닭-산란계,20161218,20161212,98,331778,동두천,20161212,-0.1,0.0,0.9,54.3
경기도 포천시 창수면 주원리,닭-산란계,20161224,20161219,98,130000,동두천,20161219,6.5,0.3,0.9,71.5
경기도 포천시 창수면 주원리,닭-산란계,20210208,20210207,98,160000,동두천,20210207,3.1,0.0,1.9,65.8
경기도 포천시 창수면 추동리,닭-백세미,20150423,20150420,98,48000,동두천,20150420,12.0,6.9,1.8,66.9
경기도 포천시 창수면 추동리,닭-토종닭,20150423,20150420,98,11000,동두천,20150420,12.0,6.9,1.8,66.9
경기도 포천시 화현면 지현리,닭-산란계,20170202,20170124,98,15000,동두천,20170124,-8.1,0.0,1.1,51.6
경기도 화성시 남양읍 신남리,닭-산란계,20201217,20201216,116,90000,,,,,,
경기도 화성시 남양읍 온석리,닭-산란계,20140228,20140227,116,154800,,,,,,
경기도 화성시 남양읍 온석리,닭-산란계,20170105,20170101,116,348000,,,,,,
경기도 화성시 남양읍 온석리,닭-육계,20170109,20170103,116,60000,,,,,,
경기도 화성시 남양읍 장덕리,닭-육계,20170114,20170108,116,41268,,,,,,
경기도 화성시 마도면 청원리,닭-토종닭,20170125,20170121,116,30000,,,,,,
경기도 화성시 서신면 전곡리,닭-종계,20140130,20140128,116,18000,,,,,,
경기도 화성시 양감면 사창리,닭-산란계,20161214,20161207,116,14000,,,,,,
경기도 화성시 양감면 사창리,닭-산란계,20210124,20210123,116,602000,,,,,,
경기도 화성시 양감면 사창리,닭-종계,20161201,20161129,116,23286,,,,,,
경기도 화성시 온석동,닭-육계,20140211,20140206,116,27000,,,,,,
경기도 화성시 온석동,닭-종계,20140211,20140209,116,17000,,,,,,
경기도 화성시 온석동,오리-육용오리,20140212,20140211,116,6452,,,,,,
경기도 화성시 우정읍 매향리,닭-산란계,20161220,20161216,245,46000,정읍,20161216,-0.7,0.0,1.5,57.9
경기도 화성시 팔탄면 구장리,닭-산란계,20180127,20180126,116,147700,,,,,,
경기도 화성시 팔탄면 구장리,닭-산란계,20210218,20210217,116,150000,,,,,,
경기도 화성시 팔탄면 서근리,오리-종오리,20110210,20110210,116,8000,,,,,,
경기도 화성시 팔탄면 율암리,닭-산란계,20140217,20140214,116,26100,,,,,,
경기도 화성시 팔탄면 율암리,닭-산란계,20170125,20170120,116,29835,,,,,,
경기도 화성시 팔탄면 율암리,오리-육용오리,20140211,20140207,116,9200,,,,,,
경기도 화성시 향남읍 상신리,닭-산란계,20201223,20201222,116,310000,,,,,,
경상남도 거창군 가조면 동례리,오리-육용오리,20210110,20210109,284,20400,거창,20210109,-9.0,0.0,1.7,57.8
경상남도 고성군 거류면 은월리,개-기타,20150201,20150123,162,3,통영,20150123,4.2,0.0,1.4,73.3
경상남도 고성군 거류면 은월리,닭-토종닭,20170613,20170610,162,850,통영,20170610,20.9,0.0,2.4,82.3
경상남도 고성군 거류면 은월리,오리-육용오리,20150124,20150119,162,14000,통영,20150119,5.5,0.0,3.6,49.3
경상남도 고성군 대가면 갈천리,닭-토종닭,20170613,20170609,162,131,통영,20170609,21.5,0.0,2.1,71.8
경상남도 고성군 마암면 두호리,오리-육용오리,20161229,20161225,162,11000,통영,20161225,6.7,0.0,2.3,73.0
경상남도 고성군 마암면 삼락리,오리-육용오리,20161231,20161226,162,15000,통영,20161226,7.8,21.9,3.3,92.6
경상남도 고성군 마암면 삼락리,오리-육용오리,20210112,20210111,162,10500,통영,20210111,0.2,0.0,1.9,64.6
경상남도 고성군 마암면 삼락리,오리-육용오리,20210115,20210112,162,42300,통영,20210112,1.2,0.0,2.3,59.0
경상남도 밀양시 초동면 덕산리,닭-토종닭,20140130,20140128,288,9400,밀양,20140128,3.0,0.0,1.1,56.9
경상남도 양산시 동면 내송리,닭-토종닭,20110224,20110224,257,150,양산시,20110224,10.6,0.0,2.7,61.1
경상남도 양산시 명곡동,닭-토종닭,20141222,20141211,257,20,양산시,20141211,6.7,0.0,2.3,49.8
경상남도 양산시 상북면 상삼리,닭-산란계,20080513,20080513,257,59905,,,,,,
경상남도 양산시 상북면 상삼리,닭-산란계,20080514,20080514,257,59905,,,,,,
경상남도 양산시 상북면 좌삼리,닭-산란계,20161226,20161225,257,53397,양산시,20161225,6.7,0.0,1.1,75.8
경상남도 양산시 원동면 화제리,닭-토종닭,20170607,20170603,257,441,양산시,20170603,21.1,0.0,2.3,56.5
경상남도 양산시 하북면 백록리,닭-산란계,20040113,20040113,257,17000,,,,,,
경상남도 진주시 수곡면 대천리,오리-육용오리,20210109,20210108,192,22000,진주,20210108,-9.1,0.0,1.0,48.0
경상남도 통영시 도산면 오륜리,칠면조-비분류,20210219,20210218,162,4651,통영,20210218,-1.6,0.0,3.5,48.0
경상남도 하동군 옥종면 문암리,오리-육용오리,20210116,20210114,192,15900,진주,20210114,3.3,0.0,0.5,69.9
경상남도 하동군 옥종면 문암리,오리-육용오리,20210118,20210116,192,13100,진주,20210116,2.4,0.0,1.3,48.6
경상남도 하동군 적량면 고절리,닭-산란계,20140415,20140411,192,3500,진주,20140411,12.0,0.0,0.9,53.9
경상남도 하동군 진교면 고이리,오리-육용오리,20170302,20170227,192,3151,진주,20170227,5.1,0.0,0.8,60.1
경상북도 경산시 갑제동,닭-기타,20080513,20080513,176,14700,,,,,,
경상북도 경산시 갑제동,닭-기타,20080514,20080514,176,14700,,,,,,
경상북도 경주시 내남면 이조리,메추리-비분류,20210101,20201231,283,10900,경주시,20201231,-5.1,0.0,4.4,46.8
경상북도 경주시 산내면 대현리,닭-토종닭,20141201,20141124,283,130,경주시,20141124,9.2,24.0,1.9,91.8
경상북도 경주시 안강읍 육통리,닭-산란계,20031221,20031221,283,10650,,,,,,
경상북도 경주시 안강읍 육통리,닭-산란계,20031224,20031224,283,298650,,,,,,
경상북도 경주시 천북면 신당리,닭-산란계,20140312,20140307,283,30000,경주시,20140307,2.0,0.0,3.9,22.3
경상북도 경주시 천북면 신당리,닭-산란계,20201226,20201225,283,8000,경주시,20201225,0.8,0.0,3.8,47.8
경상북도 경주시 천북면 화산리,닭-산란계,20140312,20140310,283,60000,경주시,20140310,2.6,0.0,3.0,32.1
경상북도 구미시 선산읍 죽장리,닭-삼계,20201215,20201214,279,28000,구미,20201214,-3.2,0.0,2.1,35.1
경상북도 문경시 농암면 사현리,닭-산란계,20210113,20210112,273,38000,문경,20210112,-3.5,0.4,1.0,65.1
경상북도 상주시 공성면 무곡리,닭-산란계,20201202,20201201,137,188000,상주,20201201,1.9,0.0,1.0,48.4
경상북도 성주군 용암면 덕평리,닭-산란계,20110123,20110123,279,201000,구미,20110123,-1.4,0.0,1.5,47.5
경상북도 영주시 장수면 호문리,오리-종오리,20210217,20210215,271,7200,봉화,20210215,1.3,0.7,2.1,71.8
경상북도 영천시 서산동,닭-산란계,20110322,20110322,129,18000,서산,20110322,2.5,0.0,6.6,37.8
경상북도 영천시 오미동,닭-기타,20080501,20080501,281,132,영천,20080501,19.0,0.0,1.5,58.5
경상북도 영천시 오수동,닭-산란계,20110406,20110406,281,13200,영천,20110406,11.7,0.3,1.9,49.5
경상북도 포항시 북구 청하면 신흥리,닭-산란계,20210131,20210130,138,240000,포항,20210130,2.3,0.0,2.6,38.1
광주광역시 광산구 신창동,오리-육용오리,20150927,20150922,156,10298,광주,20150922,22.7,0.0,1.4,66.8
광주광역시 북구 우산동,오리-육용오리,20150921,20150916,156,28,광주,20150916,20.0,0.0,2.0,69.6
대구광역시 달성군 옥포면 본리리,닭-토종닭,20140619,20140616,143,50,대구,20140616,26.7,0.0,2.1,41.3
대구광역시 동구 도동,닭-토종닭,20170623,20170621,143,160,대구,20170621,24.2,1.0,1.5,68.1
대구광역시 수성구 만촌동,닭-육계,20080502,20080502,143,12,대구,20080502,23.3,0.0,1.5,49.1
부산광역시 강서구 대저1동,오리-육용오리,20080507,20080507,159,229,부산,20080507,18.0,0.0,4.4,58.4
부산광역시 강서구 대저2동,관상조류-기러기,20150121,20150113,159,880,부산,20150113,6.1,0.0,1.1,58.0
부산광역시 강서구 대저2동,닭-토종닭,20150121,20150113,159,880,부산,20150113,6.1,0.0,1.1,58.0
부산광역시 기장군 일광면 삼성리,닭-토종닭,20161216,20161215,159,24,부산,20161215,2.2,0.0,3.8,45.3
부산광역시 기장군 일광면 용천리,닭-토종닭,20170609,20170607,159,18,부산,20170607,19.2,18.3,4.3,85.0
부산광역시 기장군 장안읍 오리,닭-토종닭,20170607,20170604,159,6000,부산,20170604,20.0,0.0,2.3,50.1
부산광역시 기장군 장안읍 장안리,닭-기타,20080510,20080510,159,320,부산,20080510,12.8,2.0,5.2,68.9
부산광역시 해운대구 반여동,닭-기타,20080510,20080510,143,26,대구,20080510,14.8,0.0,4.1,48.5
서울특별시 광진구 자양동,닭-산란계,20080505,20080505,108,85,서울,20080505,15.8,0.1,3.6,49.3
서울특별시 광진구 자양동,닭-산란계,20080506,20080506,108,85,서울,20080506,17.2,0.0,4.0,30.1
서울특별시 송파구 장지동,오리-기타,20080511,20080511,108,19306,서울,20080511,16.0,0.0,2.8,42.4
세종특별자치시 부강면 등곡리,닭-산란계,20140314,20140310,239,70000,,,,,,
세종특별자치시 부강면 등곡리,닭-산란계,20161208,20161206,239,70000,,,,,,
세종특별자치시 부강면 등곡리,닭-산란계,20210105,20210104,239,140000,세종,20210104,-3.4,0.0,0.7,60.9
세종특별자치시 소정면 고등리,닭-산란계,20140307,20140303,239,311500,,,,,,
세종특별자치시 소정면 고등리,닭-산란계,20161214,20161212,239,37000,,,,,,
세종특별자치시 소정면 고등리,닭-산란계,20161217,20161215,239,318000,,,,,,
세종특별자치시 소정면 고등리,닭-토종닭,20161228,20161225,239,49000,,,,,,
세종특별자치시 소정면 대곡리,닭-산란계,20140314,20140312,239,30600,,,,,,
세종특별자치시 소정면 대곡리,닭-산란계,20161214,20161212,239,25000,,,,,,
세종특별자치시 소정면 대곡리,닭-산란계,20161215,20161213,239,110000,,,,,,
세종특별자치시 소정면 대곡리,닭-산란계,20161217,20161214,239,314400,,,,,,
세종특별자치시 소정면 대곡리,닭-산란계,20161229,20161226,239,60500,,,,,,
세종특별자치시 소정면 소정리,닭-산란계,20140328,20140325,239,130800,,,,,,
세종특별자치시 연동면 문주리,닭-산란계,20161214,20161212,239,400000,,,,,,
세종특별자치시 연동면 응암리,닭-토종닭,20161207,20161205,239,1000,,,,,,
세종특별자치시 연서면 봉암리,닭-산란계,20161222,20161220,239,102000,,,,,,
세종특별자치시 전동면 노장리,닭-산란계,20161220,20161218,239,79700,,,,,,
세종특별자치시 전동면 보덕리,닭-산란계,20161128,20161126,239,700000,,,,,,
세종특별자치시 전동면 심중리,오리-육용오리,20161203,20161201,239,7500,,,,,,
세종특별자치시 전의면 유천리,닭-산란계,20161214,20161212,133,150000,대전,20161212,4.3,0.0,0.7,56.4
세종특별자치시 전의면 유천리,닭-산란계,20161216,20161214,239,94000,,,,,,
울산광역시 남구 상개동,닭-토종닭,20150216,20150211,152,164,울산,20150211,5.1,0.0,1.9,48.5
울산광역시 남구 상개동,닭-토종닭,20170607,20170605,152,236,울산,20170605,18.0,0.0,2.6,69.6
울산광역시 울주군 상북면 명촌리,닭-육계,20031227,20031227,152,7220,울산,20031227,0.3,0.0,3.2,29.4
울산광역시 울주군 서생면 나사리,닭-토종닭,20140430,20140423,152,7000,울산,20140423,16.2,0.0,1.9,46.0
울산광역시 울주군 언양읍 다개리,닭-토종닭,20170607,20170605,152,15,울산,20170605,18.0,0.0,2.6,69.6
울산광역시 울주군 온산읍 삼평리,닭-토종닭,20170607,20170605,152,24,울산,20170605,18.0,0.0,2.6,69.6
울산광역시 울주군 웅촌면,닭-기타,20080501,20080501,152,120,울산,20080501,19.2,0.0,2.2,66.9
인천광역시 서구 공촌동,닭-토종닭,20161228,20161226,112,30,인천,20161226,2.5,0.0,2.7,73.1
인천광역시 옹진군 영흥면 내리,야생조류-큰기러기,20140208,20140201,112,1,인천,20140201,4.2,13.6,2.9,80.6
전라남도 강진군 강진읍 덕남리,닭-기타,20150928,20150921,259,60,강진군,20150921,20.8,0.0,1.6,83.1
전라남도 강진군 도암면 석문리,오리-육용오리,20170307,20170305,259,22400,강진군,20170305,7.0,0.0,1.9,62.9
전라남도 강진군 도암면 석문리,오리-육용오리,20170309,20170306,259,40000,강진군,20170306,3.4,0.0,5.0,46.0
전라남도 강진군 도암면 석문리,오리-종오리,20170309,20170306,259,8000,강진군,20170306,3.4,0.0,5.0,46.0
전라남도 강진군 성전면 금당리,오리-육용오리,20140507,20140504,259,1,강진군,20140504,12.9,0.4,2.6,66.9
전라남도 강진군 성전면 금당리,오리-종오리,20150513,20150428,259,15000,강진군,20150428,16.4,46.0,3.1,87.9
전라남도 강진군 성전면 금당리,오리-종오리,20170313,20170309,259,16800,강진군,20170309,6.8,0.0,3.8,49.5
전라남도 강진군 성전면 금당리,오리-종오리,20180111,20180110,259,5900,강진군,20180110,-1.3,7.5,4.1,81.1
전라남도 강진군 신전면 송천리,오리-육용오리,20170228,20170226,259,8800,강진군,20170226,3.7,0.0,2.0,64.0
전라남도 강진군 작천면 갈동리,오리-종오리,20180105,20180104,259,22000,강진군,20180104,0.3,0.0,3.0,55.5
전라남도 강진군 칠량면 삼흥리,오리-육용오리,20150918,20150914,259,6850,강진군,20150914,18.9,0.0,1.7,71.8
전라남도 고흥군 도덕면 용동리,오리-육용오리,20110227,20110227,262,31000,고흥,20110227,9.2,63.5,1.4,89.4
전라남도 고흥군 동강면 매곡리,오리-육용오리,20171228,20171226,262,17000,고흥,20171226,2.2,0.0,2.9,58.4
전라남도 고흥군 동강면 매곡리,오리-육용오리,20180103,20180101,262,8300,고흥,20180101,0.6,0.0,1.3,62.6
전라남도 곡성군 겸면 현정리,오리-육용오리,20141117,20141107,174,12000,순천,20141107,10.3,0.0,1.6,0.0
전라남도 곡성군 곡성읍 대평리,오리-육용오리,20201230,20201229,174,20000,순천,20201229,2.8,1.9,2.5,84.5
전라남도 곡성군 석곡면 당월리,오리-육용오리,20170328,20170324,174,25000,순천,20170324,6.8,0.0,1.2,57.9
전라남도 곡성군 석곡면 석곡리,오리-육용오리,20141001,20140926,174,1,순천,20140926,20.0,0.0,1.2,81.4
전라남도 곡성군 옥과면 리문리,닭-토종닭,20140930,20140926,174,1,순천,20140926,20.0,0.0,1.2,81.4
전라남도 곡성군 옥과면 리문리,오리-육용오리,20140731,20140725,174,1,순천,20140725,27.4,3.6,3.3,78.6
전라남도 구례군 용방면 신도리,오리-육용오리,20150202,20150128,174,21700,순천,20150128,-2.4,0.0,2.9,55.0
전라남도 구례군 용방면 신도리,오리-육용오리,20150202,20150129,174,8000,순천,20150129,0.2,4.0,1.1,81.5
전라남도 구례군 용방면 신도리,오리-육용오리,20150221,20150216,174,17400,순천,20150216,6.4,3.0,2.0,85.1
전라남도 구례군 용방면 신도리,오리-육용오리,20161219,20161217,174,7200,순천,20161217,2.4,0.0,1.9,63.0
전라남도 구례군 용방면 신도리,오리-육용오리,20201225,20201223,174,16000,순천,20201223,0.9,0.0,0.7,82.9
전라남도 구례군 용방면 용강리,오리-육용오리,20150317,20150306,174,15000,순천,20150306,3.0,0.0,1.0,62.0
전라남도 구례군 용방면 용정리,오리-육용오리,20150306,20150227,174,23500,순천,20150227,-0.3,0.0,2.7,43.1
전라남도 구례군 용방면 용정리,오리-육용오리,20201227,20201223,174,16500,순천,20201223,0.9,0.0,0.7,82.9
전라남도 구례군 용방면 중방리,오리-육용오리,20150201,20150129,174,16600,순천,20150129,0.2,4.0,1.1,81.5
전라남도 나주시 공산면 가송리,닭-산란계,20140408,20140406,156,64500,광주,20140406,8.3,0.0,2.2,43.8
전라남도 나주시 공산면 가송리,오리-종오리,20140328,20140326,156,12000,광주,20140326,13.8,19.0,1.6,86.1
전라남도 나주시 공산면 남창리,오리-종오리,20110107,20110107,156,4600,광주,20110107,-3.7,0.0,2.8,57.3
전라남도 나주시 공산면 동촌리,오리-육용오리,20140328,20140326,156,61000,광주,20140326,13.8,19.0,1.6,86.1
전라남도 나주시 공산면 중포리,오리-종오리,20140328,20140326,156,27000,광주,20140326,13.8,19.0,1.6,86.1
전라남도 나주시 공산면 중포리,오리-종오리,20161201,20161128,156,25000,광주,20161128,6.0,0.0,1.8,58.9
전라남도 나주시 공산면 중포리,오리-종오리,20171230,20171228,156,23000,광주,20171228,0.8,0.0,2.1,49.9
전라남도 나주시 남평읍 광이리,오리-육용오리,20110107,20110107,156,34000,광주,20110107,-3.7,0.0,2.8,57.3
전라남도 나주시 남평읍 상곡리,오리-종오리,20161212,20161210,156,18343,광주,20161210,2.6,0.0,1.7,43.9
전라남도 나주시 남평읍 우산리,오리-육용오리,20161219,20161216,156,16500,광주,20161216,0.5,0.0,2.0,56.5
전라남도 나주시 남평읍 풍림리,오리-육용오리,20141017,20141011,156,10000,광주,20141011,20.3,0.0,3.6,52.1
전라남도 나주시 노안면 영평리,오리-종오리,20140316,20140313,156,3000,광주,20140313,5.3,7.0,1.7,88.3
전라남도 나주시 노안면 오정리,오리-육용오리,20141217,20141213,156,1,광주,20141213,-0.7,1.0,2.0,75.6
전라남도 나주시 노안면 오정리,오리-육용오리,20150918,20150914,156,8000,광주,20150914,20.8,0.0,1.0,61.4
전라남도 나주시 동강면 양지리,오리-육용오리,20140403,20140402,156,13700,광주,20140402,15.5,0.0,1.5,42.8
전라남도 나주시 동강면 장동리,오리-육용오리,20110108,20110108,156,15000,광주,20110108,-1.5,0.0,1.3,66.0
전라남도 나주시 동강면 장동리,오리-육용오리,20201210,20201209,156,22800,광주,20201209,3.9,0.0,1.0,49.3
전라남도 나주시 동강면 장동리,오리-종오리,20140321,20140316,156,6000,광주,20140316,11.7,0.0,2.2,64.5
전라남도 나주시 동강면 장동리,오리-종오리,20161209,20161207,156,16380,광주,20161207,2.4,0.0,0.5,75.5
전라남도 나주시 동강면 장동리,오리-종오리,20161215,20161210,156,11300,광주,20161210,2.6,0.0,1.7,43.9
전라남도 나주시 문평면 옥당리,닭-육계,20110111,20110111,156,88000,광주,20110111,-2.6,0.3,1.7,56.3
전라남도 나주시 반남면 덕산리,오리-육용오리,20170102,20161230,156,19000,광주,20161230,0.3,0.0,1.9,56.5
전라남도 나주시 반남면 흥덕리,오리-육용오리,20140314,20140310,156,10000,광주,20140310,2.8,0.0,1.6,47.3
전라남도 나주시 반남면 흥덕리,오리-육용오리,20140316,20140313,156,45001,광주,20140313,5.3,7.0,1.7,88.3
전라남도 나주시 반남면 흥덕리,오리-육용오리,20140630,20140626,156,16000,광주,20140626,24.2,0.0,1.5,68.3
전라남도 나주시 반남면 흥덕리,오리-육용오리,20151103,20151023,156,16000,광주,20151023,18.6,0.0,0.7,78.4
전라남도 나주시 반남면 흥덕리,오리-육용오리,20161227,20161223,156,12000,광주,20161223,2.8,0.9,2.0,82.8
전라남도 나주시 반남면 흥덕리,오리-종오리,20140314,20140310,156,13536,광주,20140310,2.8,0.0,1.6,47.3
전라남도 나주시 반남면 흥덕리,오리-종오리,20140316,20140313,156,5000,광주,20140313,5.3,7.0,1.7,88.3
전라남도 나주시 반남면 흥덕리,오리-종오리,20161224,20161222,156,5050,광주,20161222,8.6,8.4,3.2,88.3
전라남도 나주시 반남면 흥덕리,오리-종오리,20161227,20161223,156,16000,광주,20161223,2.8,0.9,2.0,82.8
전라남도 나주시 반남면 흥덕리,오리-종오리,20210212,20210211,156,12000,광주,20210211,6.4,0.0,1.0,63.6
전라남도 나주시 봉황면 옥산리,닭-산란계,20210311,20210310,156,214000,광주,20210310,10.6,0.0,1.5,45.1
전라남도 나주시 산포면 내기리,오리-육용오리,20170316,20170314,156,15000,광주,20170314,6.0,0.0,1.8,50.0
전라남도 나주시 산포면 덕례리,오리-육용오리,20110111,20110111,156,13600,광주,20110111,-2.6,0.3,1.7,56.3
전라남도 나주시 산포면 덕례리,오리-육용오리,20141028,20141028,156,8370,광주,20141028,12.2,0.0,0.9,55.5
전라남도 나주시 산포면 덕례리,오리-육용오리,20141029,20141027,156,16700,광주,20141027,13.4,0.0,2.2,50.8
전라남도 나주시 산포면 등수리,오리-육용오리,20141027,20141017,156,5200,광주,20141017,14.2,0.0,1.2,48.9
전라남도 나주시 산포면 등수리,오리-육용오리,20180109,20180107,156,16500,광주,20180107,2.6,2.7,1.0,70.4
전라남도 나주시 산포면 등수리,오리-육용오리,20210324,20210323,156,19000,광주,20210323,10.1,0.0,2.0,61.4
전라남도 나주시 산포면 매성리,오리,20031221,20031221,156,14900,광주,20031221,-0.5,0.0,1.1,68.1
전라남도 나주시 산포면 매성리,오리,20031225,20031225,156,14900,광주,20031225,2.0,0.0,1.7,72.3
전라남도 나주시 산포면 화지리,오리-육용오리,20110111,20110111,156,5000,광주,20110111,-2.6,0.3,1.7,56.3
전라남도 나주시 세지면 동곡리,오리-육용오리,20110107,20110107,156,32000,광주,20110107,-3.7,0.0,2.8,57.3
전라남도 나주시 세지면 성산리,오리-육용오리,20110107,20110107,188,12700,성산,20110107,2.3,0.0,3.9,64.1
전라남도 나주시 세지면 오봉리,오리-육용오리,20150212,20150209,156,14400,광주,20150209,-3.1,0.0,2.2,51.6
전라남도 나주시 세지면 오봉리,오리-종오리,20140128,20140125,156,12000,광주,20140125,9.1,4.5,2.2,77.1
전라남도 나주시 세지면 죽동리,오리-육용오리,20150130,20150127,156,40000,광주,20150127,0.5,0.0,1.9,61.4
전라남도 나주시 세지면 죽동리,오리-육용오리,20150131,20150128,156,32000,광주,20150128,-1.5,0.0,2.1,53.8
전라남도 나주시 세지면 죽동리,오리-육용오리,20150202,20150127,156,14800,광주,20150127,0.5,0.0,1.9,61.4
