주소,x,y,xy,위험도
서울특별시 종로구,126.97899,37.57350424,"126.978989954189,37.5735042429813",7
서울특별시 중구,126.9975552,37.56380777,"126.997555182293,37.5638077703601",8
서울특별시 용산구,126.9905823,37.53243104,"126.990582345331,37.5324310391314",10
서울특별시 성동구,127.0369301,37.56342721,"127.036930141185,37.563427205337",2
서울특별시 광진구,127.0823852,37.53855831,"127.082385189457,37.5385583136667",4
서울특별시 동대문구,127.039657,37.57452298,"127.039657001091,37.5745229817122",4
서울특별시 중랑구,127.0928203,37.60654324,"127.092820287004,37.6065432383919",4
서울특별시 성북구,127.0167029,37.58935882,"127.016702905651,37.5893588153919",4
서울특별시 강북구,127.0255381,37.63975133,"127.025538071854,37.6397513275882",4
서울특별시 도봉구,127.0472105,37.66869141,"127.04721049936,37.6686914100284",4
서울특별시 노원구,127.0564305,37.65436176,"127.056430475216,37.6543617567057",4
서울특별시 은평구,126.928941,37.60281744,"126.928940981464,37.6028174370823",4
서울특별시 서대문구,126.9368157,37.57916186,"126.9368156604,37.579161863979",4
서울특별시 마포구,126.9019551,37.56621419,"126.901955141101,37.5662141900954",4
서울특별시 양천구,126.8665014,37.51698848,"126.866501409661,37.5169884752609",4
서울특별시 강서구,126.8495338,37.55096462,"126.849533759514,37.5509646154244",4
서울특별시 구로구,126.8875053,37.49543309,"126.88750531451,37.4954330863648",4
서울특별시 금천구,126.8954568,37.45684115,"126.895456780023,37.4568411485785",4
서울특별시 영등포구,126.8962784,37.52636718,"126.896278443882,37.5263671784802",4
서울특별시 동작구,126.9393151,37.51248204,"126.93931505634,37.5124820423519",4
서울특별시 관악구,126.9515619,37.47836838,"126.951561853868,37.4783683761333",4
서울특별시 서초구,127.0326893,37.48358882,"127.032689317952,37.4835888228545",4
서울특별시 강남구,127.0473774,37.51733193,"127.047377408384,37.5173319258532",5
서울특별시 송파구,127.1059222,37.51459092,"127.105922243305,37.5145909234015",5
서울특별시 강동구,127.1237925,37.53019332,"127.123792501252,37.5301933196159",5
부산광역시 서구,129.0242984,35.09792352,"129.024298440459,35.0979235209887",5
부산광역시 동구,129.0453058,35.1292668,"129.045305770374,35.129266800067",5
부산광역시 영도구,129.0678888,35.09123989,"129.067888802321,35.0912398945905",5
부산광역시 부산진구,129.0531654,35.16285545,"129.053165443787,35.1628554465167",5
부산광역시 동래구,129.0938578,35.19630156,"129.093857800257,35.1963015621029",5
부산광역시 남구,129.0842428,35.13652979,"129.084242837166,35.1365297909396",5
부산광역시 북구,128.9900366,35.19729594,"128.990036594502,35.197295941285",5
부산광역시 해운대구,129.1635961,35.16306667,"129.16359608401,35.1630666685425",5
부산광역시 사하구,128.974933,35.1044479,"128.974932970702,35.1044479031499",5
부산광역시 금정구,129.0921041,35.24277705,"129.092104076105,35.2427770500592",5
부산광역시 연제구,129.0797459,35.17621119,"129.079745921308,35.176211194352",5
부산광역시 수영구,129.113134,35.14553823,"129.113133962139,35.1455382251689",5
부산광역시 사상구,128.9914565,35.15254918,"128.991456532626,35.1525491845594",5
부산광역시 기장군,129.2224221,35.2444181,"129.222422056732,35.2444181044945",5
대구광역시 수성구,128.6306355,35.8581745,"128.630635463648,35.8581745018633",5
대구광역시 달서구,128.532774,35.8298872,"128.532774031817,35.8298871998368",5
대구광역시 달성군,128.4312201,35.77447387,"128.431220139822,35.7744738663997",5
인천광역시 미추홀구,126.6649719,37.45707564,"126.664971932721,37.4570756444157",5
인천광역시 연수구,126.6782748,37.41010498,"126.678274835103,37.4101049829036",5
인천광역시 남동구,126.7314877,37.44734879,"126.73148773974,37.4473487903571",5
인천광역시 부평구,126.7218642,37.50704166,"126.721864167603,37.5070416636403",5
인천광역시 계양구,126.7377092,37.53750289,"126.737709165274,37.5375028862627",5
인천광역시 강화군,126.4880396,37.7465684,"126.488039602372,37.7465683959168",5
인천광역시 옹진군,124.6700861,37.953465,"124.670086072277,37.9534650042648",5
광주광역시 광산구,126.7936334,35.13954719,"126.793633444381,35.1395471867541",5
대전광역시 유성구,127.3562576,36.36228511,"127.356257593324,36.3622851114392",5
대전광역시 대덕구,127.4155619,36.34670513,"127.415561890628,36.3467051322814",5
울산광역시 울주군,129.1502671,35.60181577,"129.150267145781,35.6018157675291",5
세종특별자치시 세종특별자치시,127.2891953,36.48006491,"127.289195324698,36.4800649113762",5
경기도 수원시,127.0287159,37.26358468,"127.028715898311,37.2635846787744",5
경기도 성남시,127.1265163,37.41992491,"127.126516323057,37.4199249073274",5
경기도 의정부시,127.0338991,37.73805664,"127.033899090337,37.7380566430617",5
경기도 안양시,126.9568605,37.3942588,"126.956860524882,37.3942588031863",5
경기도 부천시,126.7660385,37.50351178,"126.766038450927,37.5035117792843",5
경기도 광명시,126.8646478,37.47856748,"126.864647815161,37.4785674780314",5
경기도 평택시,127.1126884,36.99226067,"127.112688386546,36.992260674533",5
경기도 동두천시,127.0604407,37.90359865,"127.060440729219,37.9035986489851",5
경기도 안산시,126.8308344,37.32190855,"126.830834434401,37.3219085506387",0
경기도 고양시,126.8319551,37.6584181,"126.831955109648,37.6584180954929",0
경기도 과천시,126.987712,37.4292292,"126.987711960677,37.4292291986772",0
경기도 구리시,127.1296464,37.59435958,"127.129646382723,37.5943595777621",0
경기도 남양주시,127.2164803,37.63602723,"127.21648030719,37.6360272346499",0
경기도 오산시,127.0775265,37.14987902,"127.077526548914,37.1498790159121",0
경기도 시흥시,126.8029778,37.38011507,"126.802977796436,37.380115071596",0
경기도 군포시,126.9352059,37.36163183,"126.935205932727,37.3616318289596",0
경기도 의왕시,126.9682738,37.34476005,"126.968273810339,37.3447600461022",0
경기도 하남시,127.2148606,37.53927457,"127.214860598563,37.5392745653538",0
경기도 용인시,127.1774823,37.24102998,"127.177482330871,37.241029979227",0
경기도 파주시,126.7798768,37.76004138,"126.779876830607,37.7600413844134",0
경기도 이천시,127.4350893,37.27226759,"127.435089282738,37.2722675901776",0
경기도 안성시,127.2797903,37.0080705,"127.27979032841,37.0080705033718",0
경기도 김포시,126.7156579,37.61526869,"126.715657922927,37.6152686898333",0
경기도 화성시,126.8314774,37.1995372,"126.831477350333,37.199537203472",0
경기도 광주시,127.2551387,37.42939419,"127.255138719721,37.4293941934866",0
경기도 양주시,127.0457861,37.7853137,"127.045786084702,37.7853136973154",0
경기도 포천시,127.2003329,37.89499283,"127.200332890652,37.8949928340087",0
경기도 여주시,127.6370588,37.29842337,"127.637058787484,37.2984233734535",0
경기도 연천군,127.0753512,38.09651865,"127.075351220883,38.0965186516052",0
경기도 가평군,127.5095702,37.83144131,"127.509570182184,37.8314413100686",0
경기도 양평군,127.4875785,37.49178829,"127.487578470072,37.4917882876857",0
강원도 춘천시,127.730207,37.88124403,"127.730207024668,37.8812440340088",0
강원도 원주시,127.9200971,37.34204759,"127.92009712318,37.3420475880603",0
강원도 강릉시,128.8759061,37.75210808,"128.875906144832,37.7521080804166",0
강원도 동해시,129.1142993,37.5247415,"129.114299292997,37.5247415047848",0
강원도 태백시,128.9857253,37.16400742,"128.985725257053,37.1640074201872",0
강원도 속초시,128.5919386,38.20689434,"128.591938589225,38.2068943352589",0
강원도 삼척시,129.1651117,37.4498976,"129.165111673939,37.4498976007987",0
강원도 홍천군,127.8886841,37.69716732,"127.888684130433,37.6971673162731",0
강원도 횡성군,127.98508,37.49178316,"127.985079956092,37.4917831601354",0
강원도 영월군,128.4617839,37.18368604,"128.461783934728,37.1836860419283",0
강원도 평창군,128.3901618,37.37078204,"128.39016179013,37.3707820404541",0
강원도 정선군,128.6608136,37.3805845,"128.660813602082,37.3805844996062",0
강원도 철원군,127.3133799,38.14679199,"127.313379851684,38.146791988083",0
강원도 화천군,127.7081506,38.10618195,"127.70815057883,38.1061819512293",0
강원도 양구군,127.9899506,38.11000128,"127.989950629015,38.1100012808233",0
강원도 인제군,128.1703515,38.06970974,"128.170351505777,38.069709741838",0
강원도 고성군,128.4678663,38.38059243,"128.467866303854,38.3805924324305",0
강원도 양양군,128.6190799,38.07551117,"128.619079851708,38.0755111735392",0
충청북도 청주시,127.4890202,36.64248713,"127.489020156402,36.6424871337289",6
충청북도 충주시,127.925961,36.99104902,"127.925961035784,36.9910490160221",6
충청북도 제천시,128.190985,37.13265777,"128.19098500203,37.1326577745507",6
충청북도 보은군,127.7294988,36.48943535,"127.729498803338,36.4894353521302",6
충청북도 옥천군,127.571345,36.30643556,"127.571345042936,36.3064355612681",6
충청북도 영동군,127.7834386,36.17499282,"127.783438619236,36.174992821265",6
충청북도 증평군,127.5815399,36.78540237,"127.581539888445,36.7854023677832",6
충청북도 진천군,127.4355406,36.85538618,"127.435540612059,36.8553861840184",6
충청북도 괴산군,127.7866522,36.81535716,"127.786652163107,36.8153571576607",6
충청북도 음성군,127.69048,36.94032188,"127.690480041094,36.9403218849121",6
충청북도 단양군,128.365537,36.98463262,"128.36553703024,36.98463262373",6
충청남도 천안시,127.113912,36.81506788,"127.113911972591,36.8150678816283",6
충청남도 공주시,127.119055,36.44655512,"127.11905504092,36.4465551158227",6
충청남도 보령시,126.6127593,36.33333669,"126.612759338779,36.3333366887911",6
충청남도 아산시,127.0025096,36.78997417,"127.002509638233,36.7899741676055",6
충청남도 서산시,126.4503339,36.7848763,"126.450333937447,36.7848762954286",6
충청남도 논산시,127.0987347,36.1871836,"127.098734690891,36.1871836043033",6
충청남도 계룡시,127.2485426,36.274559,"127.248542561419,36.2745589958326",6
충청남도 당진시,126.6458884,36.88967486,"126.645888436838,36.8896748628647",6
충청남도 금산군,127.4879746,36.1088634,"127.48797455592,36.1088634036978",6
충청남도 부여군,126.9097728,36.27576372,"126.909772812745,36.2757637166451",6
충청남도 서천군,126.691852,36.08031555,"126.691852023308,36.080315550736",6
충청남도 청양군,126.8022002,36.4592147,"126.80220021685,36.4592146952303",6
충청남도 홍성군,126.6608324,36.60135756,"126.66083238915,36.6013575607953",6
충청남도 예산군,126.8486422,36.6826228,"126.848642241312,36.6826228017861",6
충청남도 태안군,126.2979261,36.74560468,"126.297926066959,36.7456046843605",6
전라북도 전주시,127.1481438,35.82407315,"127.148143800621,35.8240731508775",6
전라북도 군산시,126.7368405,35.96746656,"126.736840487468,35.9674665619218",6
전라북도 익산시,126.9577445,35.94826286,"126.957744486694,35.9482628600199",6
전라북도 정읍시,126.8560056,35.56987803,"126.856005647439,35.5698780259932",6
전라북도 남원시,127.3903964,35.41636275,"127.390396427422,35.4163627529983",6
전라북도 김제시,126.8806551,35.80358528,"126.880655083014,35.8035852810186",6
전라북도 완주군,127.162119,35.9048146,"127.162119017463,35.9048145963422",6
전라북도 진안군,127.4248655,35.7917723,"127.424865465441,35.7917723036092",6
전라북도 무주군,127.6608063,36.00684374,"127.660806341147,36.0068437431522",6
전라북도 장수군,127.5215991,35.64734798,"127.521599117387,35.6473479775044",6
전라북도 임실군,127.2890875,35.61785451,"127.289087482791,35.6178545082349",6
전라북도 순창군,127.1373649,35.37444523,"127.137364881069,35.3744452332964",6
전라북도 고창군,126.7021204,35.43569822,"126.702120365321,35.4356982163483",6
전라북도 부안군,126.7330202,35.73166142,"126.733020152545,35.7316614171428",6
전라남도 목포시,126.392266,34.81182388,"126.392266004669,34.8118238820031",7
전라남도 여수시,127.6623313,34.76040106,"127.662331251572,34.7604010648257",8
전라남도 순천시,127.4873829,34.95060978,"127.487382934915,34.9506097806669",8
전라남도 나주시,126.7108293,35.01589769,"126.71082925505,35.0158976865702",8
전라남도 광양시,127.6959308,34.94042525,"127.695930772808,34.9404252535168",8
전라남도 담양군,126.9882107,35.32121077,"126.988210711052,35.3212107735503",8
전라남도 곡성군,127.2919296,35.28202584,"127.291929639637,35.2820258392354",8
전라남도 구례군,127.4627036,35.20249636,"127.46270363657,35.202496361707",8
전라남도 고흥군,127.2849687,34.61108202,"127.284968746855,34.6110820210903",7
전라남도 보성군,127.079977,34.77146076,"127.079977043574,34.7714607621149",2
전라남도 화순군,126.9865024,35.06451198,"126.986502436773,35.0645119791204",3
전라남도 장흥군,126.9070584,34.68161207,"126.907058431105,34.6816120675651",4
전라남도 강진군,126.7672135,34.64206153,"126.767213471898,34.6420615268858",5
전라남도 해남군,126.5992701,34.57351659,"126.599270065365,34.573516588485",1
전라남도 영암군,126.6967626,34.80005911,"126.696762590551,34.8000591144742",0
전라남도 무안군,126.4817048,34.99034062,"126.481704827288,34.9903406227336",5
전라남도 함평군,126.5166248,35.06591117,"126.516624840635,35.0659111691242",8
전라남도 영광군,126.5120138,35.27719003,"126.512013797425,35.27719003326",9
전라남도 장성군,126.7849189,35.30185768,"126.784918877012,35.3018576771354",4
전라남도 완도군,126.7549987,34.31097892,"126.754998729552,34.3109789170971",0
전라남도 진도군,126.2634462,34.48682862,"126.263446186439,34.486828620348",10
전라남도 신안군,126.351408,34.83364292,"126.35140802381,34.8336429223321",10
경상북도 포항시,129.3431646,36.01899543,"129.343164578825,36.0189954294771",10
경상북도 경주시,129.2247817,35.85621846,"129.22478171309,35.8562184605051",10
경상북도 김천시,128.1136245,36.13988817,"128.11362447591,36.1398881671651",10
경상북도 안동시,128.7295874,36.56846076,"128.729587379397,36.5684607632482",10
경상북도 구미시,128.3442464,36.11957085,"128.344246361062,36.1195708487143",10
경상북도 영주시,128.623937,36.80561928,"128.62393703546,36.8056192756897",10
경상북도 영천시,128.9385509,35.9732205,"128.938550862058,35.9732205043311",10
경상북도 상주시,128.1591451,36.4109398,"128.159145076991,36.4109398001854",10
경상북도 문경시,128.1867719,36.58652737,"128.186771917242,36.5865273680414",10
경상북도 경산시,128.7413166,35.82508159,"128.741316589036,35.8250815854681",10
경상북도 군위군,128.5728148,36.24291309,"128.572814786608,36.2429130850542",10
경상북도 의성군,128.6970778,36.35271644,"128.697077816076,36.3527164442425",10
경상북도 청송군,129.0570706,36.43622996,"129.057070558406,36.4362299589905",10
경상북도 영양군,129.1125102,36.66670286,"129.112510246081,36.6667028574142",5
경상북도 영덕군,129.3653068,36.41506188,"129.365306771359,36.4150618798074",5
경상북도 청도군,128.7340153,35.64738481,"128.734015262482,35.6473848149493",5
경상북도 고령군,128.2628958,35.72606532,"128.262895757558,35.7260653208408",5
경상북도 성주군,128.2829346,35.9190934,"128.282934640557,35.9190934037265",5
경상북도 칠곡군,128.4016622,35.99558969,"128.401662171953,35.9955896857131",5
경상북도 예천군,128.4529249,36.65765386,"128.45292491125,36.6576538637802",5
경상북도 봉화군,128.7323867,36.8931351,"128.732386681867,36.8931350959352",5
경상북도 울진군,129.400547,36.99303492,"129.400547024063,36.9930349161236",5
경상북도 울릉군,130.9057218,37.48444129,"130.905721832694,37.4844412942077",5
경상남도 창원시,128.6818341,35.22793981,"128.681834075638,35.2279398139953",5
경상남도 진주시,128.1077063,35.18022283,"128.107706335688,35.1802228341544",5
경상남도 통영시,128.4330612,34.85441341,"128.433061196239,34.8544134146968",5
경상남도 사천시,128.0642126,35.00367718,"128.064212593324,35.0036771766938",5
경상남도 김해시,128.8893627,35.22856536,"128.88936269803,35.2285653558628",5
경상남도 밀양시,128.7466075,35.50381727,"128.74660754822,35.503817270728",5
경상남도 거제시,128.6211295,34.88053905,"128.621129462965,34.8805390453824",5
경상남도 양산시,129.0372728,35.33499206,"129.037272788806,35.3349920568258",5
경상남도 의령군,128.2616865,35.32223522,"128.261686482096,35.3222352197819",5
경상남도 함안군,128.4064235,35.27240684,"128.406423514752,35.2724068411845",5
경상남도 창녕군,128.4921681,35.54461538,"128.492168076007,35.5446153780508",5
경상남도 남해군,127.8926532,34.83771055,"127.892653227935,34.8377105516625",4
경상남도 하동군,127.751308,35.0673056,"127.751308023408,35.06730559523",4
경상남도 산청군,127.87335,35.41553039,"127.873349988179,35.4155303921184",4
경상남도 함양군,127.7251605,35.52052717,"127.725160459865,35.5205271695153",4
경상남도 거창군,127.909503,35.68668463,"127.90950298922,35.6866846276583",4
경상남도 합천군,128.1657908,35.56667034,"128.165790828628,35.5666703386375",4
제주특별자치도 제주시,126.5311711,33.49953424,"126.531171087132,33.499534241198",4
제주특별자치도 서귀포시,126.5595635,33.25406463,"126.559563466911,33.2540646255037",4
